Keyword,Position,Word,Frequency,Log-Likelihood,Significance
Significance thresholds:,,,,,
,,,,LL >= 15.13,p < 0.0001
,,,,LL >= 10.83,p < 0.001
,,,,LL >= 6.63,p < 0.01
,,,,LL >= 3.84,p < 0.05
,,,,,
,,,,,
WORD: daulat,,,,,
alam,Left,kerana,33,9.17,p < 0.01
alam,Left,baginda,32,0,not significant
alam,Left,kepada,32,23.28,p < 0.0001
alam,Left,lalu,31,0,not significant
alam,Left,mengadap,30,36.93,p < 0.0001
alam,Left,ampun,29,98.66,p < 0.0001
alam,Left,mamak,29,90.36,p < 0.0001
alam,Left,anak,28,25.48,p < 0.0001
alam,Left,ia,26,0,not significant
alam,Left,demikian,26,8.64,p < 0.01
alam,Left,negeri,25,14.94,p < 0.001
alam,Left,apa,23,34.9,p < 0.0001
alam,Left,hai,23,8.82,p < 0.01
alam,Left,jebat,22,0,not significant
alam,Left,bicara,22,27.94,p < 0.0001
alam,Left,jika,21,10.49,p < 0.01
alam,Left,seperti,21,7.12,p < 0.01
alam,Left,kembali,21,22.38,p < 0.0001
alam,Left,sekalian,20,6.27,p < 0.05
alam,Right,patik,310,1212.42,p < 0.0001
alam,Right,maka,297,0,not significant
alam,Right,pun,223,0,not significant
alam,Right,duli,127,425.75,p < 0.0001
alam,Right,raja,117,66.06,p < 0.0001
alam,Right,alam,91,361.79,p < 0.0001
alam,Right,titah,85,152.31,p < 0.0001
alam,Right,baginda,77,93.81,p < 0.0001
alam,Right,setelah,75,33.33,p < 0.0001
alam,Right,laksamana,69,0,not significant
alam,Right,syah,68,255.75,p < 0.0001
alam,Right,hendak,68,98.35,p < 0.0001
alam,Right,sembah,65,71.49,p < 0.0001
alam,Right,kurnia,59,267.6,p < 0.0001
alam,Right,megat,56,217.08,p < 0.0001
alam,Right,kerana,55,76.01,p < 0.0001
alam,Right,orang,55,0,not significant
alam,Right,datang,55,51.69,p < 0.0001
alam,Right,menengar,54,103.9,p < 0.0001
alam,Right,ampun,52,241.92,p < 0.0001
alam,Right,bawah,50,152.3,p < 0.0001
alam,Right,segala,48,0,not significant
alam,Right,mohonkan,44,209.18,p < 0.0001
alam,Right,tuanku,42,14.59,p < 0.001
alam,Right,hang,41,0,not significant
alam,Right,tiada,40,0,not significant
alam,Right,dipertuan,39,86.34,p < 0.0001
alam,Right,hamba,38,41.22,p < 0.0001
alam,Right,lalu,37,0,not significant
alam,Right,paduka,36,67.67,p < 0.0001
alam,Right,demikian,36,38.36,p < 0.0001
alam,Right,bicara,36,84.15,p < 0.0001
alam,Right,adapun,35,52.28,p < 0.0001
alam,Right,bendahara,34,0,not significant
alam,Right,tun,34,0,not significant
alam,Right,kita,33,0,not significant
alam,Right,ia,32,9.31,p < 0.01
alam,Right,besar,30,61.32,p < 0.0001
alam,Right,tuah,30,0,not significant
alam,Right,panji,30,150.29,p < 0.0001
alam,Right,atas,29,47.5,p < 0.0001
alam,Right,inderapura,29,99.06,p < 0.0001
alam,Right,anak,28,27.79,p < 0.0001
alam,Right,terlalu,25,0,not significant
alam,Right,hari,25,27.64,p < 0.0001
alam,Right,sekalian,24,18.25,p < 0.0001
alam,Right,tetapi,24,51.32,p < 0.0001
alam,Right,mana,24,35.28,p < 0.0001
alam,Right,seperti,24,16.52,p < 0.0001
alam,Right,mengadap,23,17.99,p < 0.0001
,,,,,
WORD: surat,,,,,
surat,Left,maka,448,316.23,p < 0.0001
surat,Left,pun,291,205.24,p < 0.0001
surat,Left,surat,125,622.8,p < 0.0001
surat,Left,bendahara,114,214.16,p < 0.0001
surat,Left,setelah,104,132.34,p < 0.0001
surat,Left,raja,97,35.31,p < 0.0001
surat,Left,lalu,84,133.89,p < 0.0001
surat,Left,titah,80,147.59,p < 0.0001
surat,Left,bingkis,74,375.33,p < 0.0001
surat,Left,segala,72,29.43,p < 0.0001
surat,Left,laksamana,68,0,not significant
surat,Left,orang,59,7.49,p < 0.01
surat,Left,gajah,57,114.74,p < 0.0001
surat,Left,baginda,49,23.94,p < 0.0001
surat,Left,datang,49,43.27,p < 0.0001
surat,Left,mengarang,49,368.62,p < 0.0001
surat,Left,tun,46,0,not significant
surat,Left,patik,45,10.15,p < 0.01
surat,Left,kita,45,10.37,p < 0.01
surat,Left,patih,44,44.2,p < 0.0001
surat,Left,menyambut,42,202.36,p < 0.0001
surat,Left,segeralah,40,184.78,p < 0.0001
surat,Left,berlengkap,39,172.04,p < 0.0001
surat,Left,menyembah,38,85.1,p < 0.0001
surat,Left,masuk,37,65.51,p < 0.0001
surat,Left,duli,36,36.19,p < 0.0001
surat,Left,sembah,35,1.26,not significant
surat,Left,kepada,35,40.72,p < 0.0001
surat,Left,melaka,34,13.45,p < 0.001
surat,Left,menengar,33,36.74,p < 0.0001
surat,Left,mada,33,56.15,p < 0.0001
surat,Left,tuanku,32,0,not significant
surat,Left,oranglah,32,66.28,p < 0.0001
surat,Left,betara,32,27.67,p < 0.0001
surat,Left,demikian,31,29.16,p < 0.0001
surat,Left,mengiringkan,31,146.96,p < 0.0001
surat,Left,terlalu,30,12.68,p < 0.001
surat,Left,mamak,29,97.8,p < 0.0001
surat,Left,hai,29,32.01,p < 0.0001
surat,Left,hang,29,0,not significant
surat,Left,keluar,28,64.68,p < 0.0001
surat,Left,kata,27,0,not significant
surat,Left,pegawai,26,28.24,p < 0.0001
surat,Left,duduk,26,18.93,p < 0.0001
surat,Left,sampai,25,67.78,p < 0.0001
surat,Left,pergi,25,22.57,p < 0.0001
surat,Left,seri,25,15.88,p < 0.0001
surat,Left,sampailah,23,56.92,p < 0.0001
surat,Left,menteri,23,43.74,p < 0.0001
surat,Left,membawa,22,50.19,p < 0.0001
surat,Right,maka,420,296.39,p < 0.0001
surat,Right,pun,355,437.28,p < 0.0001
surat,Right,bingkis,201,1447.09,p < 0.0001
surat,Right,surat,124,631.81,p < 0.0001
surat,Right,setelah,114,180.69,p < 0.0001
surat,Right,lalu,104,223.6,p < 0.0001
surat,Right,oranglah,85,353.08,p < 0.0001
surat,Right,laksamana,85,0,not significant
surat,Right,raja,82,12.87,p < 0.001
surat,Right,gajah,73,192.48,p < 0.0001
surat,Right,bendahara,67,63.28,p < 0.0001
surat,Right,disambut,65,408.46,p < 0.0001
surat,Right,segala,63,17.05,p < 0.0001
surat,Right,kita,56,44.61,p < 0.0001
