Keyword,Position,Word,Frequency,Log-Likelihood,Significance
Significance thresholds:,,,,,
,,,,LL >= 15.13,p < 0.0001
,,,,LL >= 10.83,p < 0.001
,,,,LL >= 6.63,p < 0.01
,,,,LL >= 3.84,p < 0.05
,,,,,
,,,,,
WORD: daulat,,,,,
hairan,Left,tuanku,10,3.77,not significant
hairan,Left,tuah,10,3.51,not significant
hairan,Left,terlalu,10,9.51,p < 0.01
hairan,Left,kata,9,0,not significant
hairan,Left,melihat,9,17.44,p < 0.0001
hairan,Left,jebat,9,6.98,p < 0.01
hairan,Left,patih,9,5.01,p < 0.05
hairan,Left,patik,9,0,not significant
hairan,Left,menengar,9,11.17,p < 0.001
hairan,Left,kita,8,0,not significant
hairan,Left,setelah,8,0,not significant
hairan,Left,kepada,8,7.5,p < 0.01
hairan,Left,sembah,8,0,not significant
hairan,Left,hairan,7,33.46,p < 0.0001
hairan,Left,betara,7,3.86,p < 0.05
hairan,Left,gajah,7,3.81,not significant
hairan,Left,mada,7,9.28,p < 0.01
hairan,Left,ia,7,1.06,not significant
hairan,Left,kecurian,7,53.05,p < 0.0001
hairan,Left,membunuh,6,19.15,p < 0.0001
hairan,Left,mengadap,6,5.97,p < 0.05
hairan,Left,seri,6,3.04,not significant
hairan,Left,penjurit,6,11.21,p < 0.001
hairan,Left,temenggung,6,9.51,p < 0.01
hairan,Left,demikian,6,2.29,not significant
hairan,Left,hal,6,26.99,p < 0.0001
hairan,Left,kisna,6,20.45,p < 0.0001
hairan,Left,rayan,6,20.45,p < 0.0001
hairan,Left,maharaja,6,10.16,p < 0.01
hairan,Left,setia,6,11.17,p < 0.001
hairan,Left,dilihat,5,6.93,p < 0.01
hairan,Left,sekalian,5,2.62,not significant
hairan,Left,daripada,5,3.86,p < 0.05
hairan,Left,ehwalnya,5,29.63,p < 0.0001
hairan,Left,menyuruh,4,8.45,p < 0.01
hairan,Left,mati,4,5.38,p < 0.05
hairan,Right,maka,118,89.93,p < 0.0001
hairan,Right,pun,68,35.5,p < 0.0001
hairan,Right,laksamana,44,42.54,p < 0.0001
hairan,Right,melihat,37,176.26,p < 0.0001
hairan,Right,raja,27,14.33,p < 0.001
hairan,Right,segala,21,14.05,p < 0.001
hairan,Right,bendahara,18,16.4,p < 0.0001
hairan,Right,tiada,17,20.04,p < 0.0001
hairan,Right,setelah,15,1.86,not significant
hairan,Right,baginda,15,12.68,p < 0.001
hairan,Right,tuah,14,14.32,p < 0.001
hairan,Right,orang,14,0,not significant
hairan,Right,titah,14,15.17,p < 0.0001
hairan,Right,sang,13,28.36,p < 0.0001
hairan,Right,sembah,13,10.14,p < 0.01
hairan,Right,menengar,13,25.67,p < 0.0001
hairan,Right,hang,12,2.67,not significant
hairan,Right,hai,11,20.78,p < 0.0001
hairan,Right,tun,11,0,not significant
hairan,Right,lalu,11,2.78,not significant
hairan,Right,kisna,11,50.82,p < 0.0001
hairan,Right,kata,10,0,not significant
hairan,Right,kelakuan,10,59.25,p < 0.0001
hairan,Right,rayan,10,44.29,p < 0.0001
hairan,Right,terlalu,9,6.65,p < 0.01
hairan,Right,ia,9,5.87,p < 0.05
hairan,Right,hatinya,9,37.03,p < 0.0001
hairan,Right,adapun,9,15.08,p < 0.001
hairan,Right,tercengangcengang,8,73.02,p < 0.0001
hairan,Right,setia,8,19.48,p < 0.0001
hairan,Right,penjurit,8,19.54,p < 0.0001
hairan,Right,nala,8,24.85,p < 0.0001
hairan,Right,kerana,8,3.4,not significant
hairan,Right,tuanku,7,0,not significant
hairan,Right,jebat,7,1.9,not significant
hairan,Right,bertitah,7,21.72,p < 0.0001
hairan,Right,temenggung,7,13.25,p < 0.001
hairan,Right,kebesaran,7,51.64,p < 0.0001
hairan,Right,hairan,6,26.82,p < 0.0001
hairan,Right,kita,6,0,not significant
hairan,Right,lagi,6,4.81,p < 0.05
hairan,Right,datang,6,0,not significant
hairan,Right,demikian,6,2.28,not significant
hairan,Right,seri,6,3.03,not significant
hairan,Right,betara,6,1.45,not significant
hairan,Right,patik,6,0,not significant
hairan,Right,hari,6,6.9,p < 0.01
hairan,Right,aku,6,9.73,p < 0.01
hairan,Right,engkau,6,13.08,p < 0.001
hairan,Right,guna,6,17.9,p < 0.0001
,,,,,
WORD: fikir,,,,,
fikir,Left,maka,89,42.81,p < 0.0001
fikir,Left,pun,66,49.2,p < 0.0001
fikir,Left,setelah,37,81.88,p < 0.0001
fikir,Left,ia,28,89.76,p < 0.0001
fikir,Left,raja,27,21.97,p < 0.0001
fikir,Left,tun,27,51.98,p < 0.0001
fikir,Left,laksamana,27,7.37,p < 0.01
fikir,Left,tuah,17,28.8,p < 0.0001
fikir,Left,orang,14,3.6,not significant
fikir,Left,tiada,14,15.03,p < 0.001
fikir,Left,baginda,14,13.87,p < 0.001
fikir,Left,aku,13,44.86,p < 0.0001
fikir,Left,melaka,13,19.24,p < 0.0001
fikir,Left,menengar,12,25.17,p < 0.0001
fikir,Left,demikian,12,24.6,p < 0.0001
fikir,Left,segala,11,0,not significant
fikir,Left,hendak,11,10.83,p < 0.001
fikir,Left,patih,10,10.49,p < 0.01
fikir,Left,teja,10,32.66,p < 0.0001
fikir,Left,terlalu,9,9.2,p < 0.01
fikir,Left,duli,9,11.16,p < 0.001
fikir,Left,datang,9,4.51,p < 0.05
fikir,Left,jika,8,14.67,p < 0.001
fikir,Left,negeri,8,12.66,p < 0.001
fikir,Left,hang,8,0,not significant
fikir,Left,baiklah,8,21.8,p < 0.0001
fikir,Left,bendahara,8,0,not significant
fikir,Left,kata,8,0,not significant
fikir,Left,tunduk,8,60,p < 0.0001
fikir,Left,seperti,7,9.84,p < 0.01
fikir,Left,dipertuan,7,13.72,p < 0.001
fikir,Left,sembah,7,0,not significant
fikir,Left,melihat,7,12.02,p < 0.001
fikir,Left,pegawai,7,10.29,p < 0.01
fikir,Left,paduka,7,12.5,p < 0.001
fikir,Left,sang,6,5.51,p < 0.05
fikir,Left,gajah,6,3.11,not significant
fikir,Left,mada,6,7.8,p < 0.01
fikir,Left,jebat,6,1.48,not significant
fikir,Left,dilihatnya,5,16.78,p < 0.0001
fikir,Left,banyak,5,7.51,p < 0.01
fikir,Left,dia,5,11.04,p < 0.001
fikir,Left,dilihat,5,8.34,p < 0.01
fikir,Left,dapat,5,11.96,p < 0.001
fikir,Left,sari,5,18.38,p < 0.0001
fikir,Left,lalu,5,0,not significant
fikir,Left,bawah,5,8.11,p < 0.01
fikir,Left,hairan,5,21.94,p < 0.0001
fikir,Left,hatinya,5,16.11,p < 0.0001
fikir,Left,kerana,5,0,not significant
fikir,Right,maka,92,51.98,p < 0.0001
fikir,Right,pun,51,12.62,p < 0.001
fikir,Right,laksamana,38,37.02,p < 0.0001
fikir,Right,demikian,31,122.94,p < 0.0001
fikir,Right,hatinya,28,187.18,p < 0.0001
fikir,Right,adapun,22,82.82,p < 0.0001
fikir,Right,tun,19,23.56,p < 0.0001
fikir,Right,raja,18,0.37,not significant
fikir,Right,aku,18,74.14,p < 0.0001
fikir,Right,jika,17,57.1,p < 0.0001
fikir,Right,ia,14,25.72,p < 0.0001
fikir,Right,orang,13,1.65,not significant
fikir,Right,baginda,13,11.18,p < 0.001
fikir,Right,tiada,13,12.26,p < 0.001
fikir,Right,bendahara,12,4.81,p < 0.05
fikir,Right,kata,12,6.61,p < 0.05
fikir,Right,setelah,11,0,not significant
fikir,Right,titah,11,9.92,p < 0.01
fikir,Right,seperti,11,25.6,p < 0.0001
fikir,Right,patih,10,10.66,p < 0.01
fikir,Right,saudagar,9,28.19,p < 0.0001
fikir,Right,sembah,9,3.1,not significant
fikir,Right,tuah,9,3.96,p < 0.05
fikir,Right,lalu,9,1.37,not significant
fikir,Right,baik,9,20.71,p < 0.0001
fikir,Right,teja,9,27.65,p < 0.0001
fikir,Right,hai,8,12.43,p < 0.001
fikir,Right,baiklah,8,21.94,p < 0.0001
fikir,Right,kerana,8,5.8,p < 0.05
fikir,Right,kita,8,0,not significant
fikir,Right,kepada,7,6.79,p < 0.01
fikir,Right,duduk,7,7.9,p < 0.01
fikir,Right,melaka,7,1.82,not significant
fikir,Right,hendak,7,0.69,not significant
fikir,Right,temenggung,7,15.35,p < 0.0001
fikir,Right,anak,6,6.67,p < 0.01
fikir,Right,apa,6,12.67,p < 0.001
fikir,Right,seri,6,4.84,p < 0.05
fikir,Right,betara,6,3.25,not significant
fikir,Right,jikalau,6,16.47,p < 0.0001
fikir,Right,seorang,6,10.84,p < 0.001
fikir,Right,gerangan,5,27.4,p < 0.0001
fikir,Right,datang,5,0,not significant
fikir,Right,bertitah,5,13.65,p < 0.001
fikir,Right,daulat,5,4.11,p < 0.05
fikir,Right,menyembah,5,6.04,p < 0.05
fikir,Right,dia,5,11.13,p < 0.001
fikir,Right,penjurit,5,9.01,p < 0.01
fikir,Right,gajah,5,0.85,not significant
fikir,Right,mada,5,4.76,p < 0.05
,,,,,
WORD: hadir,,,,,
hadir,Left,pun,77,110.65,p < 0.0001
hadir,Left,maka,67,19.86,p < 0.0001
hadir,Left,segala,24,38.45,p < 0.0001
hadir,Left,raja,21,14.58,p < 0.001
hadir,Left,laksamana,18,0,not significant
hadir,Left,bendahara,15,18.2,p < 0.0001
hadir,Left,tun,14,13.93,p < 0.001
hadir,Left,setelah,13,6.56,p < 0.05
hadir,Left,tuanku,13,20.37,p < 0.0001
hadir,Left,sekalian,10,25.75,p < 0.0001
hadir,Left,sembah,10,9.21,p < 0.01
hadir,Left,baginda,9,4.41,p < 0.05
hadir,Left,orang,9,0,not significant
hadir,Left,pegawai,8,16.96,p < 0.0001
hadir,Left,lalu,8,2.26,not significant
hadir,Left,hang,8,0.62,not significant
hadir,Left,keluar,7,20.5,p < 0.0001
hadir,Left,tatkala,7,23.48,p < 0.0001
hadir,Left,datang,7,2.67,not significant
hadir,Left,paduka,7,15.19,p < 0.0001
hadir,Left,pergi,7,12.23,p < 0.001
hadir,Left,titah,6,0.33,not significant
hadir,Left,syahbandar,6,18.89,p < 0.0001
hadir,Left,diadap,6,28.05,p < 0.0001
hadir,Left,menteri,6,15.63,p < 0.0001
hadir,Left,sang,6,7.81,p < 0.01
hadir,Left,kata,6,0,not significant
hadir,Left,tuah,6,0,not significant
hadir,Left,petuanan,6,18,p < 0.0001
hadir,Left,patih,6,2.46,not significant
hadir,Left,kita,6,0,not significant
hadir,Left,patik,6,0,not significant
hadir,Left,kerana,6,3.09,not significant
hadir,Left,menyambut,6,25.9,p < 0.0001
hadir,Left,duli,6,4.88,p < 0.05
hadir,Left,terlalu,6,3.57,not significant
hadir,Left,masuk,6,9.14,p < 0.01
hadir,Left,balairung,5,20.76,p < 0.0001
hadir,Left,berjalan,5,10.03,p < 0.01
hadir,Left,gajah,5,2.68,not significant
hadir,Left,daulat,5,5.94,p < 0.05
hadir,Left,keesokan,5,24.81,p < 0.0001
hadir,Left,harinya,5,22.99,p < 0.0001
hadir,Left,rumah,5,16.8,p < 0.0001
hadir,Left,surat,5,9.68,p < 0.01
hadir,Left,duduk,5,4.11,p < 0.05
hadir,Left,teja,5,11.31,p < 0.001
hadir,Left,ibrahim,5,25.4,p < 0.0001
hadir,Left,kakan,5,25.55,p < 0.0001
hadir,Left,syah,4,6.64,p < 0.01
hadir,Right,maka,87,68.23,p < 0.0001
hadir,Right,pun,49,24.42,p < 0.0001
hadir,Right,segala,23,34.1,p < 0.0001
hadir,Right,raja,20,11.24,p < 0.001
hadir,Right,setelah,19,23.35,p < 0.0001
hadir,Right,datang,17,36.07,p < 0.0001
hadir,Right,tun,17,22.93,p < 0.0001
hadir,Right,laksamana,17,0,not significant
hadir,Right,lalu,15,22.57,p < 0.0001
hadir,Right,baginda,14,18.75,p < 0.0001
hadir,Right,kata,12,10.59,p < 0.01
hadir,Right,mengadap,12,36.14,p < 0.0001
hadir,Right,orang,11,1.36,not significant
hadir,Right,titah,11,13.56,p < 0.001
hadir,Right,tuah,10,9.82,p < 0.01
hadir,Right,menantikan,9,61.72,p < 0.0001
hadir,Right,bendahara,9,1.41,not significant
hadir,Right,patih,8,7.61,p < 0.01
hadir,Right,tuan,7,12.43,p < 0.001
hadir,Right,hang,7,0,not significant
hadir,Right,kita,7,0,not significant
hadir,Right,berjalan,7,18.51,p < 0.0001
hadir,Right,kepada,7,9.1,p < 0.01
hadir,Right,surat,7,18.02,p < 0.0001
hadir,Right,gajah,7,8.22,p < 0.01
hadir,Right,dilihat,6,14.29,p < 0.001
hadir,Right,hari,6,10.69,p < 0.01
hadir,Right,baik,6,10.93,p < 0.001
hadir,Right,melaka,6,1.7,not significant
hadir,Right,indah,6,22.29,p < 0.0001
hadir,Right,senjatanya,6,47.4,p < 0.0001
hadir,Right,betara,6,5.24,p < 0.05
hadir,Right,anakku,6,15.47,p < 0.0001
hadir,Right,sekalian,5,5.77,p < 0.05
hadir,Right,atas,5,8.26,p < 0.01
hadir,Right,naik,5,8.29,p < 0.01
hadir,Right,lagi,5,5.34,p < 0.05
hadir,Right,tujuh,5,11.75,p < 0.001
hadir,Right,pergi,5,5.2,p < 0.05
hadir,Right,bentara,5,15.25,p < 0.0001
hadir,Right,jebat,5,1.15,not significant
hadir,Right,memakai,5,18.68,p < 0.0001
hadir,Right,bingkis,5,15.19,p < 0.0001
hadir,Right,patik,5,0,not significant
hadir,Right,seri,5,3.86,p < 0.05
hadir,Right,daripada,5,7.01,p < 0.01
hadir,Right,duduk,5,3.93,p < 0.05
hadir,Right,ayahanda,5,14.19,p < 0.001
hadir,Right,syahbandar,4,9.21,p < 0.01
hadir,Right,segera,4,5.24,p < 0.05
,,,,,
WORD: maksud,,,,,
maksud,Left,maka,53,0,not significant
maksud,Left,pun,35,0,not significant
maksud,Left,apa,21,106.47,p < 0.0001
maksud,Left,raja,18,8.52,p < 0.01
maksud,Left,kata,18,32.67,p < 0.0001
maksud,Left,tuanku,16,33.11,p < 0.0001
maksud,Left,laksamana,15,0,not significant
maksud,Left,seperti,14,45.67,p < 0.0001
maksud,Left,patik,13,15.86,p < 0.0001
maksud,Left,duli,12,27.43,p < 0.0001
maksud,Left,kita,12,12.78,p < 0.001
maksud,Left,bendahara,11,7.48,p < 0.01
maksud,Left,saudagar,11,43.86,p < 0.0001
maksud,Left,sembah,10,10.08,p < 0.01
maksud,Left,datang,10,11.82,p < 0.001
maksud,Left,hamba,10,20.67,p < 0.0001
maksud,Left,adapun,10,26.4,p < 0.0001
maksud,Left,tiada,8,3.4,not significant
maksud,Left,sama,8,33.17,p < 0.0001
maksud,Left,orang,8,0,not significant
maksud,Left,duduk,8,14.79,p < 0.001
maksud,Left,tun,8,0,not significant
maksud,Left,tuan,7,13.28,p < 0.001
maksud,Left,syah,7,20.06,p < 0.0001
maksud,Left,alam,7,17.49,p < 0.0001
maksud,Left,bawah,7,19.36,p < 0.0001
maksud,Left,titah,7,3.15,not significant
maksud,Left,hai,7,12.17,p < 0.001
maksud,Left,tuah,7,2.73,not significant
maksud,Left,bedil,7,35.21,p < 0.0001
maksud,Left,barang,6,20.32,p < 0.0001
maksud,Left,maksud,6,37.01,p < 0.0001
maksud,Left,hendak,6,1.46,not significant
maksud,Left,baginda,6,0,not significant
maksud,Left,sekalian,6,9.84,p < 0.01
maksud,Left,benua,6,19.47,p < 0.0001
maksud,Left,segala,6,0,not significant
maksud,Left,daripada,6,11.33,p < 0.001
maksud,Left,mangkubumi,6,28.45,p < 0.0001
maksud,Left,jika,5,6.82,p < 0.01
maksud,Left,mengadap,5,6.91,p < 0.01
maksud,Left,ya,5,12.05,p < 0.001
maksud,Left,daulat,5,6.38,p < 0.05
maksud,Left,negeri,5,5.57,p < 0.05
maksud,Left,besar,5,10.56,p < 0.01
maksud,Left,kepada,5,3.75,not significant
maksud,Left,setelah,5,0,not significant
maksud,Left,baik,5,7.89,p < 0.01
maksud,Left,melaka,5,0.2,not significant
maksud,Left,mulia,5,27.84,p < 0.0001
maksud,Right,maka,56,0,not significant
maksud,Right,pun,30,0,not significant
maksud,Right,raja,20,13.16,p < 0.001
maksud,Right,hendak,18,43.45,p < 0.0001
maksud,Right,kita,17,29.5,p < 0.0001
maksud,Right,tuan,16,56.39,p < 0.0001
maksud,Right,kata,16,24.85,p < 0.0001
maksud,Right,laksamana,14,0,not significant
maksud,Right,tiada,13,17.81,p < 0.0001
maksud,Right,sembah,13,19.59,p < 0.0001
maksud,Right,tuanku,13,21.16,p < 0.0001
maksud,Right,patik,13,15.52,p < 0.0001
maksud,Right,saudagar,13,55.83,p < 0.0001
maksud,Right,hamba,12,28.87,p < 0.0001
maksud,Right,datang,12,18.25,p < 0.0001
maksud,Right,bendahara,12,9.93,p < 0.01
maksud,Right,kerana,11,19.68,p < 0.0001
maksud,Right,baginda,10,7.62,p < 0.01
maksud,Right,setelah,10,0.41,not significant
maksud,Right,duli,9,15.16,p < 0.0001
maksud,Right,titah,9,8.34,p < 0.01
maksud,Right,diperhamba,9,45.94,p < 0.0001
maksud,Right,tun,9,1.55,not significant
maksud,Right,anakku,9,31.36,p < 0.0001
maksud,Right,menengar,8,13.85,p < 0.001
maksud,Right,tuah,8,5.05,p < 0.05
maksud,Right,melaka,8,7.63,p < 0.01
maksud,Right,syah,7,19.88,p < 0.0001
maksud,Right,daulat,7,13.46,p < 0.001
maksud,Right,aku,7,18.6,p < 0.0001
maksud,Right,lagi,7,12.86,p < 0.001
maksud,Right,bedil,7,35.02,p < 0.0001
maksud,Right,maksud,6,36.86,p < 0.0001
maksud,Right,bawah,6,14.59,p < 0.001
maksud,Right,alam,6,12.98,p < 0.001
maksud,Right,syahbandar,6,19.26,p < 0.0001
maksud,Right,negeri,6,8.71,p < 0.01
maksud,Right,besar,6,14.71,p < 0.001
maksud,Right,dipertuan,6,12.58,p < 0.001
maksud,Right,orang,6,0,not significant
maksud,Right,keling,6,23.02,p < 0.0001
maksud,Right,benua,6,19.32,p < 0.0001
maksud,Right,tiadalah,5,21.25,p < 0.0001
maksud,Right,jikalau,5,14.04,p < 0.001
maksud,Right,adapun,5,6.14,p < 0.05
maksud,Right,patih,5,0.53,not significant
maksud,Right,supaya,5,18.26,p < 0.0001
maksud,Right,paduka,5,7.79,p < 0.01
maksud,Right,ayahanda,5,14.67,p < 0.001
maksud,Right,bonda,5,19.16,p < 0.0001
,,,,,
WORD: sujud,,,,,
sujud,Left,maka,79,72.84,p < 0.0001
sujud,Left,pun,78,137.19,p < 0.0001
sujud,Left,lalu,26,76.32,p < 0.0001
sujud,Left,laksamana,26,22.8,p < 0.0001
sujud,Left,raja,20,17.86,p < 0.0001
sujud,Left,tuah,18,44.78,p < 0.0001
sujud,Left,hang,16,28.16,p < 0.0001
sujud,Left,setelah,15,16.3,p < 0.0001
sujud,Left,bendahara,15,22.64,p < 0.0001
sujud,Left,baginda,14,23.38,p < 0.0001
sujud,Left,segala,14,11.48,p < 0.001
sujud,Left,tun,13,14.85,p < 0.001
sujud,Left,sang,12,35.8,p < 0.0001
sujud,Left,datang,11,17.4,p < 0.0001
sujud,Left,segera,10,34.72,p < 0.0001
sujud,Left,tuan,7,14.74,p < 0.001
sujud,Left,sekalian,7,15.1,p < 0.001
sujud,Left,orang,7,0,not significant
sujud,Left,duduk,6,8.89,p < 0.01
sujud,Left,pegawai,6,11.04,p < 0.001
sujud,Left,jaya,6,34.09,p < 0.0001
sujud,Left,nantaka,6,36.63,p < 0.0001
sujud,Left,menteri,6,17.41,p < 0.0001
sujud,Left,menengar,5,5.13,p < 0.05
sujud,Left,titah,5,0,not significant
sujud,Left,demikian,5,4.89,p < 0.05
sujud,Left,meniarap,5,37,p < 0.0001
sujud,Left,oranglah,5,10.23,p < 0.01
sujud,Left,tujuh,5,13.4,p < 0.001
sujud,Left,ia,5,2.2,not significant
sujud,Left,jebat,5,2.81,not significant
sujud,Left,serta,5,13.64,p < 0.001
sujud,Left,lagi,5,7,p < 0.01
sujud,Left,atas,5,9.92,p < 0.01
sujud,Left,seri,5,5.52,p < 0.05
sujud,Left,setia,5,12.29,p < 0.001
sujud,Left,tabal,4,37.67,p < 0.0001
sujud,Left,keris,4,8.1,p < 0.01
sujud,Left,hadapan,4,12.34,p < 0.001
sujud,Left,daulat,4,4.15,p < 0.05
sujud,Left,singgasana,4,29.27,p < 0.0001
sujud,Left,mengadap,4,4.58,p < 0.05
sujud,Left,maharaja,4,7.37,p < 0.01
sujud,Left,nakhoda,3,14.38,p < 0.001
sujud,Left,menyambut,3,9.68,p < 0.01
sujud,Left,terlalu,3,0,not significant
sujud,Left,nobat,3,23.81,p < 0.0001
sujud,Left,dipalu,3,15.78,p < 0.0001
sujud,Left,sujud,3,14.61,p < 0.001
sujud,Left,menyembah,3,2.54,not significant
sujud,Right,maka,70,48.55,p < 0.0001
sujud,Right,pun,39,15.06,p < 0.001
sujud,Right,baginda,31,101.47,p < 0.0001
sujud,Right,kaki,27,238.25,p < 0.0001
sujud,Right,raja,25,33.82,p < 0.0001
sujud,Right,laksamana,22,12.24,p < 0.001
sujud,Right,sang,14,46.27,p < 0.0001
sujud,Right,tuanku,14,28.35,p < 0.0001
sujud,Right,lalu,13,20.31,p < 0.0001
sujud,Right,bendahara,12,12.92,p < 0.001
sujud,Right,meniarap,11,98.89,p < 0.0001
sujud,Right,serta,11,47.51,p < 0.0001
sujud,Right,tuah,10,13.26,p < 0.001
sujud,Right,memeluk,10,81.03,p < 0.0001
sujud,Right,daulat,9,24.06,p < 0.0001
sujud,Right,kali,9,63.73,p < 0.0001
sujud,Right,mencium,9,76.56,p < 0.0001
sujud,Right,kepala,9,59.09,p < 0.0001
sujud,Right,duduk,8,16.57,p < 0.0001
sujud,Right,hai,8,17.83,p < 0.0001
sujud,Right,hang,8,3.1,not significant
sujud,Right,seraya,8,29.2,p < 0.0001
sujud,Right,tun,8,1.48,not significant
sujud,Right,sembah,7,3.62,not significant
sujud,Right,segala,7,0,not significant
sujud,Right,menyembah,7,17.89,p < 0.0001
sujud,Right,setelah,7,0,not significant
sujud,Right,bertitah,7,28.55,p < 0.0001
sujud,Right,diciumnya,6,53.13,p < 0.0001
sujud,Right,titah,6,2.19,not significant
sujud,Right,hadapan,6,23.46,p < 0.0001
sujud,Right,oranglah,6,14.54,p < 0.001
sujud,Right,apa,5,12.11,p < 0.001
sujud,Right,kita,5,0,not significant
sujud,Right,sultan,5,23.63,p < 0.0001
sujud,Right,tujuh,5,13.47,p < 0.001
sujud,Right,hidangan,5,24.19,p < 0.0001
sujud,Right,diangkat,5,23.2,p < 0.0001
sujud,Right,naik,5,10.01,p < 0.01
sujud,Right,kepalanya,5,33.58,p < 0.0001
sujud,Right,tiga,5,16.27,p < 0.0001
sujud,Right,dipeluk,4,32.77,p < 0.0001
sujud,Right,patik,4,0,not significant
sujud,Right,hamba,4,1.83,not significant
sujud,Right,mengatakan,4,23.02,p < 0.0001
sujud,Right,syah,4,7.88,p < 0.01
sujud,Right,alam,4,6.4,p < 0.05
sujud,Right,bumi,4,17.2,p < 0.0001
sujud,Right,aria,4,19.19,p < 0.0001
sujud,Right,putera,4,29.33,p < 0.0001
,,,,,
WORD: mesyuarat,,,,,
mesyuarat,Left,maka,60,37.52,p < 0.0001
mesyuarat,Left,pun,51,59.3,p < 0.0001
mesyuarat,Left,bendahara,19,42.47,p < 0.0001
mesyuarat,Left,laksamana,18,7.11,p < 0.01
mesyuarat,Left,segala,15,18.18,p < 0.0001
mesyuarat,Left,raja,15,8.57,p < 0.01
mesyuarat,Left,pegawai,11,36.37,p < 0.0001
mesyuarat,Left,kata,11,14.22,p < 0.001
mesyuarat,Left,baginda,11,15.85,p < 0.0001
mesyuarat,Left,tiada,11,16.77,p < 0.0001
mesyuarat,Left,hendak,10,17.27,p < 0.0001
mesyuarat,Left,hang,9,7.77,p < 0.01
mesyuarat,Left,setelah,8,0.66,not significant
mesyuarat,Left,orang,8,0.57,not significant
mesyuarat,Left,kembali,8,26.66,p < 0.0001
mesyuarat,Left,duduk,8,18.49,p < 0.0001
mesyuarat,Left,kita,8,5.73,p < 0.05
mesyuarat,Left,datang,7,6.52,p < 0.05
mesyuarat,Left,temenggung,7,21.76,p < 0.0001
mesyuarat,Left,masuk,7,16.67,p < 0.0001
mesyuarat,Left,melaka,7,8.23,p < 0.01
mesyuarat,Left,paduka,6,14.47,p < 0.001
mesyuarat,Left,tuah,6,3.27,not significant
mesyuarat,Left,sekalian,5,8.69,p < 0.01
mesyuarat,Left,mengadap,5,9.22,p < 0.01
mesyuarat,Left,sembah,5,0.42,not significant
mesyuarat,Left,lagi,5,8.27,p < 0.01
mesyuarat,Left,lalu,5,0,not significant
mesyuarat,Left,tatkala,5,16.16,p < 0.0001
mesyuarat,Left,titah,5,1.2,not significant
mesyuarat,Left,kerana,5,3.5,not significant
mesyuarat,Left,majapahit,5,14.99,p < 0.001
mesyuarat,Left,patih,5,2.98,not significant
mesyuarat,Left,ia,5,3.47,not significant
mesyuarat,Left,khabar,4,15.69,p < 0.0001
mesyuarat,Left,besar,4,8.52,p < 0.01
mesyuarat,Left,petuanan,4,10.96,p < 0.001
mesyuarat,Left,mari,4,14.11,p < 0.001
mesyuarat,Left,aku,4,8.1,p < 0.01
mesyuarat,Left,jika,4,5.52,p < 0.05
mesyuarat,Left,tuanku,4,0,not significant
mesyuarat,Left,dipertuan,4,7.1,p < 0.01
mesyuarat,Left,bentara,4,12.75,p < 0.001
mesyuarat,Left,betara,4,2.58,not significant
mesyuarat,Left,hamba,4,2.79,not significant
mesyuarat,Left,pula,4,6.69,p < 0.01
mesyuarat,Left,sang,4,4.16,p < 0.05
mesyuarat,Left,demikian,3,0.63,not significant
mesyuarat,Left,bentan,3,15.37,p < 0.0001
mesyuarat,Left,berhimpun,3,19.89,p < 0.0001
mesyuarat,Right,maka,50,16.28,p < 0.0001
mesyuarat,Right,pun,27,0,not significant
mesyuarat,Right,segala,24,53.2,p < 0.0001
mesyuarat,Right,hendak,23,79.53,p < 0.0001
mesyuarat,Right,raja,15,9.54,p < 0.01
mesyuarat,Right,bendahara,14,23.65,p < 0.0001
mesyuarat,Right,laksamana,11,0,not significant
mesyuarat,Right,hang,11,14.62,p < 0.001
mesyuarat,Right,kata,10,11.67,p < 0.001
mesyuarat,Right,sang,10,29.37,p < 0.0001
mesyuarat,Right,pegawai,10,31.8,p < 0.0001
mesyuarat,Right,paduka,10,34.97,p < 0.0001
mesyuarat,Right,setelah,9,3.45,not significant
mesyuarat,Right,duli,9,20.14,p < 0.0001
mesyuarat,Right,melaka,9,15.68,p < 0.0001
mesyuarat,Right,kita,9,9.15,p < 0.01
mesyuarat,Right,sekalian,8,21.94,p < 0.0001
mesyuarat,Right,pekerjaan,8,36.59,p < 0.0001
mesyuarat,Right,patih,8,12.8,p < 0.001
mesyuarat,Right,dipertuan,8,25.8,p < 0.0001
mesyuarat,Right,baginda,7,4.21,p < 0.05
mesyuarat,Right,bicara,6,17.6,p < 0.0001
mesyuarat,Right,tuan,6,12.7,p < 0.001
mesyuarat,Right,pergi,6,12.32,p < 0.001
mesyuarat,Right,tua,5,19.68,p < 0.0001
mesyuarat,Right,baik,5,10.53,p < 0.01
mesyuarat,Right,bukit,5,22.49,p < 0.0001
mesyuarat,Right,petuanan,5,16.25,p < 0.0001
mesyuarat,Right,datuk,5,21.39,p < 0.0001
mesyuarat,Right,datang,5,1.62,not significant
mesyuarat,Right,kerma,5,16.16,p < 0.0001
mesyuarat,Right,wijaya,5,16.03,p < 0.0001
mesyuarat,Right,menteri,5,14.28,p < 0.001
mesyuarat,Right,temenggung,5,12.5,p < 0.001
mesyuarat,Right,bentara,5,18.5,p < 0.0001
mesyuarat,Right,jebat,5,4.4,p < 0.05
mesyuarat,Right,sembah,5,0.75,not significant
mesyuarat,Right,tiada,5,0.06,not significant
